route_random_sigma,exploration_percentage,max_speed_and_length_factor,average_edge_duration_factor,freshness_update_factor,freshness_cut_off_value,re_route_every_ticks,result
0.29,0.13,1.19,2.25,7,103,60,15.551000314217724
0.02,0.01,1.64,1.47,14,310,16,7.9472988921876
0.27,0.27,2.07,2.4,15,557,47,6.299127404001075
0.18,0.21,1.95,1.97,16,273,56,4.119801543816758
0.24,0.18,1.34,2.42,10,334,57,3.2927652830460796
0.02,0.01,1.64,1.47,6,310,16,3.9062463692384397
0.24,0.18,1.34,2.42,16,273,56,2.5877385511929316
0.18,0.21,1.95,1.97,10,334,57,2.42686252438393
0.24,0.18,1.34,2.42,10,334,35,3.7815687263822206
0.24,0.18,1.34,1.71,16,273,56,2.769293959710877
0.18,0.21,1.95,1.65,10,334,57,2.7241777596881978
0.18,0.21,1.95,1.97,10,334,57,2.2692561406361302
0.18,0.21,1.95,1.97,10,334,57,2.506342824962742
0.18,0.21,1.95,1.97,10,334,57,2.6397609265487034
0.18,0.21,1.95,1.97,10,334,57,2.702373593851642
0.18,0.21,1.95,1.97,16,334,57,3.235644451645764
0.18,0.21,1.95,1.97,10,334,57,2.2536914226283233
0.18,0.21,1.95,1.97,10,334,57,2.428261099677831
0.18,0.21,1.95,1.97,10,334,57,2.132003679643383
0.18,0.21,1.95,1.97,10,334,57,2.5879480807646917
0.18,0.21,1.95,1.97,10,334,29,2.538126077244735
0.18,0.21,1.95,1.97,10,334,57,3.161577086495049
0.18,0.21,1.95,1.97,10,334,57,2.6950299144329772
0.07,0.21,1.95,1.97,10,334,57,2.8296080573370297
0.18,0.21,1.95,1.97,10,334,11,2.3024534212471384
0.18,0.21,1.95,1.97,10,611,57,2.4779548489008643
0.18,0.21,1.95,1.97,14,334,57,2.9591413415250236
